Level,Code/Description,Code1,Concat1,concat2,concat3,concat4,concat5,concat6,concat8,THE CODE,Code2b,code3b,Code4b,Code5b,Code6b,Code7b,Code8b,Level 1,Code22,Level 2,Code32,Level 3,Code42,Level 4,Level 5,Level 6,Level 7,Level 8,Global,Country 1,Country 2,Country 3,EU/ROW split
0,T: Total,C0,,,,,,,,C0,,,,,,,,,,,,,,,,,,,,,,,
1,"    0and1: Food, beverages & tobacco",C1,,,,,,,,C1,,,,,,,,"    0and1: Food, beverages & tobacco",,,,,,,,,,,,,,,
2,        0: Food & live animals,C1,C1_C1,,,,,,,C1_C1,C1,,,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,,,,,,,,,,,,
3,            00: Live animals,C1,C1_C1,C1_C1_C1,,,,,,C1_C1_C1,C1,C1,,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            00: Live animals,,,,,,,,,,,
4,                01.4A: Live animals,C1,C1_C1,C1_C1_C1,C1_C1_C1_C1,,,,,C1_C1_C1_C1,C1,C1,C1,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            00: Live animals,,                01.4A: Live animals,,,,,,,,,
4,                03.0A: Live marine mammals,C1,C1_C1,C1_C1_C1,C1_C1_C1_C2,,,,,C1_C1_C1_C2,C1,C1,C2,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            00: Live animals,,                03.0A: Live marine mammals,,,,,,,,,
3,            01: Meat & meat preparations,C1,C1_C1,C1_C1_C2,,,,,,C1_C1_C2,C1,C2,,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            01: Meat & meat preparations,,,,,,,,,,,
4,                01.4B: Snails,C1,C1_C1,C1_C1_C2,C1_C1_C2_C1,,,,,C1_C1_C2_C1,C1,C2,C1,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            01: Meat & meat preparations,,                01.4B: Snails,,,,,,,,,
4,"                10.1A: Fresh, chilled or frozen meat, meat products for human consumption",C1,C1_C1,C1_C1_C2,C1_C1_C2_C2,,,,,C1_C1_C2_C2,C1,C2,C2,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            01: Meat & meat preparations,,"                10.1A: Fresh, chilled or frozen meat, meat products for human consumption",,,,,,,,,
4,                10.8A: Meat extracts & juices,C1,C1_C1,C1_C1_C2,C1_C1_C2_C3,,,,,C1_C1_C2_C3,C1,C2,C3,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            01: Meat & meat preparations,,                10.8A: Meat extracts & juices,,,,,,,,,
3,            02: Dairy products & eggs,C1,C1_C1,C1_C1_C3,,,,,,C1_C1_C3,C1,C3,,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            02: Dairy products & eggs,,,,,,,,,,,
4,                01.4C: Eggs in shell,C1,C1_C1,C1_C1_C3,C1_C1_C3_C1,,,,,C1_C1_C3_C1,C1,C3,C1,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            02: Dairy products & eggs,,                01.4C: Eggs in shell,,,,,,,,,
4,"                10.5A: Milk, butter, cheese, yoghurt, ice cream etc",C1,C1_C1,C1_C1_C3,C1_C1_C3_C2,,,,,C1_C1_C3_C2,C1,C3,C2,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            02: Dairy products & eggs,,"                10.5A: Milk, butter, cheese, yoghurt, ice cream etc",,,,,,,,,
4,                10.8B: Processed eggs,C1,C1_C1,C1_C1_C3,C1_C1_C3_C3,,,,,C1_C1_C3_C3,C1,C3,C3,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            02: Dairy products & eggs,,                10.8B: Processed eggs,,,,,,,,,
3,            03: Fish & shellfish,C1,C1_C1,C1_C1_C4,,,,,,C1_C1_C4,C1,C4,,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            03: Fish & shellfish,,,,,,,,,,,
4,                03.0B: Fresh or chilled fish & shellfish,C1,C1_C1,C1_C1_C4,C1_C1_C4_C1,,,,,C1_C1_C4_C1,C1,C4,C1,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            03: Fish & shellfish,,                03.0B: Fresh or chilled fish & shellfish,,,,,,,,,
4,                10.2A: Processed & preserved fish & shellfish,C1,C1_C1,C1_C1_C4,C1_C1_C4_C2,,,,,C1_C1_C4_C2,C1,C4,C2,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            03: Fish & shellfish,,                10.2A: Processed & preserved fish & shellfish,,,,,,,,,
3,            04and08: Cereals & animal feeding stuffs,C1,C1_C1,C1_C1_C5,,,,,,C1_C1_C5,C1,C5,,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,,,,,,,,,,
4,                04: Cereals,C1,C1_C1,C1_C1_C5,C1_C1_C5_C1,,,,,C1_C1_C5_C1,C1,C5,C1,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                04: Cereals,,,,,,,,,
5,                    01.1A: Unmilled cereals,C1,C1_C1,C1_C1_C5,C1_C1_C5_C1,C1_C1_C5_C1_C1,,,,C1_C1_C5_C1_C1,C1,C5,C1,C1,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                04: Cereals,                    01.1A: Unmilled cereals,,,,,,,,
5,                    10.6A: Processed cereals,C1,C1_C1,C1_C1_C5,C1_C1_C5_C1,C1_C1_C5_C1_C2,,,,C1_C1_C5_C1_C2,C1,C5,C1,C2,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                04: Cereals,                    10.6A: Processed cereals,,,,,,,,
5,"                    10.7A: Bread, cakes, biscuits & pasta",C1,C1_C1,C1_C1_C5,C1_C1_C5_C1,C1_C1_C5_C1_C3,,,,C1_C1_C5_C1_C3,C1,C5,C1,C3,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                04: Cereals,"                    10.7A: Bread, cakes, biscuits & pasta",,,,,,,,
5,                    11.06: Malt,C1,C1_C1,C1_C1_C5,C1_C1_C5_C1,C1_C1_C5_C1_C4,,,,C1_C1_C5_C1_C4,C1,C5,C1,C4,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                04: Cereals,                    11.06: Malt,,,,,,,,
4,                08: Animal feeding stuffs,C1,C1_C1,C1_C1_C5,C1_C1_C5_C2,,,,,C1_C1_C5_C2,C1,C5,C2,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                08: Animal feeding stuffs,,,,,,,,,
5,                    01.1C: Straw & forage,C1,C1_C1,C1_C1_C5,C1_C1_C5_C2,C1_C1_C5_C2_C1,,,,C1_C1_C5_C2_C1,C1,C5,C2,C1,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                08: Animal feeding stuffs,                    01.1C: Straw & forage,,,,,,,,
5,                    10.1B: Meat meal for animals,C1,C1_C1,C1_C1_C5,C1_C1_C5_C2,C1_C1_C5_C2_C2,,,,C1_C1_C5_C2_C2,C1,C5,C2,C2,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                08: Animal feeding stuffs,                    10.1B: Meat meal for animals,,,,,,,,
5,                    10.2B: Fish meal for animals,C1,C1_C1,C1_C1_C5,C1_C1_C5_C2,C1_C1_C5_C2_C3,,,,C1_C1_C5_C2_C3,C1,C5,C2,C3,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                08: Animal feeding stuffs,                    10.2B: Fish meal for animals,,,,,,,,
5,                    10.3B: Vegetable waste,C1,C1_C1,C1_C1_C5,C1_C1_C5_C2,C1_C1_C5_C2_C4,,,,C1_C1_C5_C2_C4,C1,C5,C2,C4,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                08: Animal feeding stuffs,                    10.3B: Vegetable waste,,,,,,,,
5,                    10.4A: Oilcake,C1,C1_C1,C1_C1_C5,C1_C1_C5_C2,C1_C1_C5_C2_C5,,,,C1_C1_C5_C2_C5,C1,C5,C2,C5,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                08: Animal feeding stuffs,                    10.4A: Oilcake,,,,,,,,
5,"                    10.6D: Bran, residues of starch manufacture",C1,C1_C1,C1_C1_C5,C1_C1_C5_C2,C1_C1_C5_C2_C6,,,,C1_C1_C5_C2_C6,C1,C5,C2,C6,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                08: Animal feeding stuffs,"                    10.6D: Bran, residues of starch manufacture",,,,,,,,
5,                    10.8E: Residues of sugar manufactures,C1,C1_C1,C1_C1_C5,C1_C1_C5_C2,C1_C1_C5_C2_C7,,,,C1_C1_C5_C2_C7,C1,C5,C2,C7,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                08: Animal feeding stuffs,                    10.8E: Residues of sugar manufactures,,,,,,,,
5,                    10.9: Prepared feeds for farm animals & pets,C1,C1_C1,C1_C1_C5,C1_C1_C5_C2,C1_C1_C5_C2_C8,,,,C1_C1_C5_C2_C8,C1,C5,C2,C8,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                08: Animal feeding stuffs,                    10.9: Prepared feeds for farm animals & pets,,,,,,,,
5,                    11.02A: Wine lees,C1,C1_C1,C1_C1_C5,C1_C1_C5_C2,C1_C1_C5_C2_C9,,,,C1_C1_C5_C2_C9,C1,C5,C2,C9,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                08: Animal feeding stuffs,                    11.02A: Wine lees,,,,,,,,
5,                    11.05A: Brewing dregs,C1,C1_C1,C1_C1_C5,C1_C1_C5_C2,C1_C1_C5_C2_C10,,,,C1_C1_C5_C2_C10,C1,C5,C2,C10,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            04and08: Cereals & animal feeding stuffs,,                08: Animal feeding stuffs,                    11.05A: Brewing dregs,,,,,,,,
3,            05: Vegetables & fruit,C1,C1_C1,C1_C1_C6,,,,,,C1_C1_C6,C1,C6,,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            05: Vegetables & fruit,,,,,,,,,,,
4,                01.1B: Fresh or chilled vegetables & vegetable products,C1,C1_C1,C1_C1_C6,C1_C1_C6_C1,,,,,C1_C1_C6_C1,C1,C6,C1,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            05: Vegetables & fruit,,                01.1B: Fresh or chilled vegetables & vegetable products,,,,,,,,,
4,"                01.2A: Fruits, nuts & berries",C1,C1_C1,C1_C1_C6,C1_C1_C6_C2,,,,,C1_C1_C6_C2,C1,C6,C2,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            05: Vegetables & fruit,,"                01.2A: Fruits, nuts & berries",,,,,,,,,
4,"                10.3A: Processed & preserved fruit & vegetable, fruit & vegetable juices",C1,C1_C1,C1_C1_C6,C1_C1_C6_C3,,,,,C1_C1_C6_C3,C1,C6,C3,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            05: Vegetables & fruit,,"                10.3A: Processed & preserved fruit & vegetable, fruit & vegetable juices",,,,,,,,,
4,"                10.6B: Vegetable flour & meal, tapioca",C1,C1_C1,C1_C1_C6,C1_C1_C6_C4,,,,,C1_C1_C6_C4,C1,C6,C4,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            05: Vegetables & fruit,,"                10.6B: Vegetable flour & meal, tapioca",,,,,,,,,
3,            06: Sugar,C1,C1_C1,C1_C1_C7,,,,,,C1_C1_C7,C1,C7,,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            06: Sugar,,,,,,,,,,,
